Label,Monthly economic survey in services - Past trend of activity - All services activities - SA series,Consumer price index - Base 2015 - All households - France - Food,Consumer price index - Base 2015 - All households - France - Energy,Monthly economic survey in services - Expected trend of demand - All services activities - SA series,Monthly business survey in goods-producing industries - Manufacturing industry - Level of global order books (balance of opinion) - SA series,Monthly economic outlook survey in the building industry - Utilisation rate of production capacities in % - Overall - SA series,Consumer price index - Base 2015 - All households - France - Manufactured products,Monthly economic outlook survey in the building industry - Past trend in the workforce - Overall - SA series,Consumer price index - Base 2015 - All households - France - Services,Monthly economic outlook survey in the building industry - Trend of past activity - Overall - SA series,Monthly business survey in goods-producing industries - Manufacturing industry - Expected trend in production (balance of opinion) - SA series,Monthly business survey in goods-producing industries - Manufacturing industry - Level of foreign order books (balance of opinion) - SA series,Monthly business survey in goods-producing industries - Manufacturing industry - Level of stocks of manufactured products (balance of opinion) - SA series,Monthly economic outlook survey in the building industry - Trend of expected activity - Overall - SA series,"SA-WDA industrial production index (base 100 in 2015) - Manufacturing (NAF rev. 2, level A10, item CZ)",Monthly economic outlook survey in the building industry - Judgment on the order book level - Overall - SA series,Monthly business survey in goods-producing industries - Manufacturing industry - General outlook - Probable trend in industrial production volume (balance of opinion) - SA series,Monthly business survey in goods-producing industries - Manufacturing industry - Past trend in production (balance of opinion) - SA series,Monthly economic survey in services - Expected trend of activity - All services activities - SA series,Business climate summary indicator - All sectors - Metropolitan France,Employment climate summary indicator - All sectors - Metropolitan France
2002-09-30,-4.3,83.26666666666667,64.79,-2.1,-18.866666666666664,92.33333333333333,101.39,-2.233333333333333,77.7,-10.700000000000001,7.6000000000000005,-18.4,12.166666666666666,-11.199999999999998,110.74333333333334,4.3,-18.0,-1.9333333333333333,0.10000000000000024,99.2,100.86666666666667
2002-12-31,0.4666666666666666,83.47666666666667,65.85666666666667,-1.4,-16.733333333333334,91.53333333333335,102.01666666666667,-2.9,77.81666666666666,-15.433333333333332,6.5,-17.566666666666666,14.766666666666666,-19.566666666666666,109.34333333333332,-13.466666666666667,-30.533333333333335,-2.8000000000000003,1.0666666666666667,98.46666666666665,96.76666666666667
2003-03-31,-2.1999999999999997,84.67333333333333,68.41,-2.9,-19.96666666666667,91.2,101.49333333333334,-0.3333333333333333,78.38666666666667,-15.700000000000001,1.6333333333333335,-19.633333333333333,8.733333333333334,-22.666666666666668,110.14999999999999,-10.733333333333334,-40.03333333333333,-1.9666666666666668,-3.6,94.2,95.66666666666667
2003-06-30,-6.266666666666667,85.58999999999999,65.42666666666666,-15.1,-28.900000000000002,90.89999999999999,102.2,1.1666666666666667,78.86666666666666,-16.03333333333333,-0.6,-29.3,7.466666666666666,-18.8,108.31666666666666,-11.833333333333334,-37.36666666666667,-11.233333333333334,-7.1000000000000005,91.09999999999998,91.89999999999999
2003-09-30,-4.0,85.86666666666667,65.68666666666667,-3.5,-27.066666666666666,91.23333333333333,101.48333333333333,1.2666666666666666,79.58,-10.0,5.0,-26.566666666666666,11.5,-9.733333333333333,108.62666666666667,-8.1,-29.433333333333337,-13.200000000000001,0.7999999999999999,95.39999999999999,94.36666666666667
2003-12-31,1.0,85.76666666666667,65.79333333333334,1.7,-19.7,91.33333333333333,102.42666666666668,3.9666666666666663,79.72333333333334,-9.4,6.733333333333333,-16.266666666666666,8.0,-1.5,109.37333333333333,-2.3333333333333335,-8.866666666666667,-1.3666666666666665,6.7,98.06666666666666,95.46666666666665
2004-03-31,5.833333333333333,86.01666666666667,66.57666666666667,7.0,-18.566666666666666,91.53333333333335,101.60000000000001,3.6333333333333333,80.38333333333334,1.0,10.333333333333334,-13.899999999999999,7.833333333333333,9.9,110.51666666666667,-6.866666666666667,7.8999999999999995,4.666666666666667,9.266666666666667,102.83333333333333,98.96666666666665
2004-06-30,5.366666666666667,86.92666666666666,68.85000000000001,8.5,-14.466666666666667,91.33333333333333,102.47666666666667,3.766666666666666,80.81666666666666,6.1000000000000005,14.033333333333331,-9.266666666666667,7.566666666666666,3.6333333333333333,110.7,-6.266666666666667,0.5333333333333333,11.833333333333334,7.666666666666667,102.8,101.83333333333333
2004-09-30,7.966666666666666,85.59333333333332,70.18666666666667,4.7,-13.666666666666666,91.66666666666667,101.67333333333333,0.39999999999999997,81.76,6.7,14.166666666666666,-8.799999999999999,8.200000000000001,11.833333333333334,110.38333333333333,-8.166666666666666,8.266666666666667,13.199999999999998,6.733333333333334,104.3,101.56666666666666
2004-12-31,6.0,85.44333333333334,72.85000000000001,8.433333333333334,-14.6,91.76666666666667,102.43333333333334,0.16666666666666663,81.77,11.4,11.866666666666667,-12.299999999999999,7.766666666666667,11.733333333333334,111.02333333333333,-8.0,2.6666666666666665,12.133333333333333,9.799999999999999,104.2,102.39999999999999
