,Foreign_trade_index_Imports_agriculture,CentralGovDebt,domestic_demand_on_GDP_x,domestic_demand_on_GDP_y,Foreign_trade_index_Exports_Food_products,Unemployment,ConsumerPrices,GNI(dollars),LaborParticipation,GDP(dollars)
2010-06-01,0.5578403544283445,,0.17809399525442454,0.17809399525442457,-0.29372486524002483,,,,,
2010-07-01,0.4747005676821618,,,,-0.20070195966042173,,,,,
2010-08-01,0.5439837233039805,,,,-0.25144172634020556,,,,,
2010-09-01,0.287636047503251,,0.1907232036762984,0.19072320367629841,-0.13304893742071117,,,,,
2010-10-01,0.22528120744361474,,,,-0.11613568186078321,,,,,
2010-11-01,0.287636047503251,,,,-0.04848265962107263,,,,,
2010-12-01,0.2599227852545241,,0.13178689770755375,0.13178689770755378,-0.040026031841109255,,,,,
2011-01-01,0.4400589898712524,0.13702235631293147,,,0.23904268489769764,-0.5539404247151375,-0.5229083176833401,1.6012262670230843,0.8924481967566715,1.582404158731266
2011-02-01,0.945826025910529,,,,0.34052221825726414,,,,,
2011-03-01,0.8903995014130742,,0.4601463166762738,0.4601463166762738,0.4081752404969747,,,,,
2011-04-01,0.8280446613534379,,,,0.5181114016365057,,,,,
2011-05-01,0.9943242348458023,,,,0.5011981460765778,,,,,
2011-06-01,0.6756217189854365,,-0.508092995667388,-0.508092995667388,0.5688511683162883,,,,,
2011-07-01,0.6756217189854365,,,,0.5688511683162883,,,,,
2011-08-01,0.7656898212938007,,,,0.5857644238762163,,,,,
2011-09-01,0.5301270921796166,,-0.04923175633930475,-0.04923175633930473,0.543481284976397,,,,,
2011-10-01,0.6617650878610726,,,,0.619590934996071,,,,,
2011-11-01,0.7310482434828913,,,,0.5942210516561797,,,,,
2011-12-01,0.48855719880652576,,-0.36075223074552637,-0.36075223074552637,0.6111343072161076,,,,,
2012-01-01,0.287636047503251,0.5410722487659495,,,0.5350246571964326,-0.17480776684006366,-0.5656203941565182,1.4070206715700124,1.3500520488836982,1.401158006183374
2012-02-01,0.8141880302290739,,,,0.5857644238762163,,,,,
2012-03-01,0.8488296080399833,,-0.167104368276794,-0.16710436827679398,0.560394540536325,,,,,
2012-04-01,0.6063385633636178,,,,0.5181114016365057,,,,,
2012-05-01,0.7656898212938007,,,,0.5265680294164691,,,,,
2012-06-01,0.9666109725970754,,-0.2639282995111602,-0.2639282995111602,0.5096547738565412,,,,,
2012-07-01,0.8557579236021648,,,,0.5350246571964326,,,,,
2012-08-01,0.6894783501098004,,,,0.5857644238762163,,,,,
2012-09-01,0.37770414981161615,,-0.03239281177680627,-0.03239281177680625,0.6280475627760356,,,,,
2012-10-01,0.32920594087634286,,,,0.6787873294558182,,,,,
2012-11-01,0.14214142069743207,,,,0.7126138405756741,,,,,
2012-12-01,0.045145002826885446,,-0.25129909108928633,-0.25129909108928633,0.6534174461159269,,,,,
2013-01-01,0.550912038866163,0.5759151087631654,,,0.7210704683556375,0.15934379813024716,-0.8615281291737277,1.5363528653945309,1.284675320087229,1.529193883152358
2013-02-01,0.8003313991047101,,,,0.6703307016758548,,,,,
2013-03-01,0.6548367722988911,,-0.17552384055804324,-0.1755238405580432,0.7210704683556375,,,,,
2013-04-01,0.6617650878610726,,,,0.7464403516955288,,,,,
2013-05-01,1.1883170705868946,,,,0.7379837239155654,,,,,
2013-06-01,1.0289658126567116,,0.08127006402005836,0.08127006402005837,0.8140933739352406,,,,,
2013-07-01,0.3430625720007068,,,,0.8648331406150233,,,,,
2013-08-01,0.23913783856797868,,,,0.8648331406150233,,,,,
2013-09-01,-0.031066468357114765,,-0.023973339495557053,-0.023973339495557036,0.8310066294951673,,,,,
2013-10-01,0.08671489619997728,,,,0.8394632572751319,,,,,
2013-11-01,0.0035751094537946016,,,,0.8479198850550953,,,,,
2013-12-01,0.38463246537379764,,0.11494795314505528,0.11494795314505529,0.8732897683949866,,,,,
2014-01-01,0.045145002826885446,0.909061379640513,,,0.8140933739352406,0.3971052057453537,-0.9581189433052243,1.5783256592395674,0.5655978022227849,1.5732232457900435
2014-02-01,0.2668511008167056,,,,0.8140933739352406,,,,,
2014-03-01,0.1629263673839775,,-0.14605568757367093,-0.1460556875736709,0.8140933739352406,,,,,
2014-04-01,0.14906973625961356,,,,0.8479198850550953,,,,,
2014-05-01,0.1837113140705229,,,,0.8648331406150233,,,,,
2014-06-01,0.21835289188143228,,-0.04502202019868013,-0.04502202019868011,0.8648331406150233,,,,,
2014-07-01,0.05207331838906791,,,,0.8817463961749512,,,,,
2014-08-01,0.14214142069743207,,,,0.7887234905953481,,,,,
2014-09-01,0.38463246537379764,,0.13599663384817837,0.1359966338481784,0.805636746155276,,,,,
2014-10-01,0.564768669990526,,,,0.7379837239155654,,,,,
2014-11-01,0.4400589898712524,,,,0.6534174461159269,,,,,
2014-12-01,0.49548551436870725,,-0.22604067424553861,-0.2260406742455386,0.6365041905559989,,,,,
2015-01-01,0.8003313991047101,0.9306081302031224,,,0.6703307016758548,0.43566139125338055,-1.08572237578587,1.1625451236365532,0.3476892268378528,1.1569977998223815
2015-02-01,1.063607390467621,,,,0.6787873294558182,,,,,
2015-03-01,1.035894128218894,,0.17809399525442454,0.17809399525442457,0.7041572127957095,,,,,
2015-04-01,1.0982489682785304,,,,0.7464403516955288,,,,,
2015-05-01,1.3268833818305321,,,,0.7295270961356021,,,,,
